架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2-010,U08,C-BAT-04,5,飞行,3100.817428141641,3455.035254245985,S006,O01,
Q2-011,U08,C-BAT-01,1,准备,9355.035254245984,9655.035254245984,,,
Q2-011,U08,C-BAT-01,2,装载,9655.035254245984,9835.035254245984,,,
Q2-011,U08,C-BAT-01,3,飞行,9835.035254245984,10332.265516405292,O01,S005,
Q2-011,U08,C-BAT-01,4,交接,10332.265516405292,10728.265516405292,,,S005
Q2-011,U08,C-BAT-01,5,飞行,10728.265516405292,11232.225778564598,S005,O01,
Q2-012,U02,A-BAT-02,1,准备,0.0,300.0,,,
Q2-012,U02,A-BAT-02,2,装载,300.0,360.0,,,
Q2-012,U02,A-BAT-02,3,飞行,360.0,698.5730849015672,O01,S001,
Q2-012,U02,A-BAT-02,4,交接,698.5730849015672,908.5730849015672,,,S001
Q2-012,U02,A-BAT-02,5,飞行,908.5730849015672,1250.8995031364677,S001,O01,
Q2-013,U07,C-BAT-01,1,准备,4444.4867539152565,4744.4867539152565,,,
Q2-013,U07,C-BAT-01,2,装载,4744.4867539152565,4894.4867539152565,,,
Q2-013,U07,C-BAT-01,3,飞行,4894.4867539152565,5577.361945337528,O01,S008,
Q2-013,U07,C-BAT-01,4,交接,5577.361945337528,5937.361945337528,,,S008
Q2-013,U07,C-BAT-01,5,飞行,5937.361945337528,6634.5571367597995,S008,O01,
Q2-014,U06,B-BAT-01,1,准备,4036.4212449801907,4336.421244980191,,,
Q2-014,U06,B-BAT-01,2,装载,4336.421244980191,4426.421244980191,,,
Q2-014,U06,B-BAT-01,3,飞行,4426.421244980191,4702.8181480501335,O01,S011,
Q2-014,U06,B-BAT-01,4,交接,4702.8181480501335,4942.8181480501335,,,S011
Q2-014,U06,B-BAT-01,5,飞行,4942.8181480501335,5224.841717786744,S011,O01,
Q2-015,U05,B-BAT-02,1,准备,4505.829241238041,4805.829241238041,,,
Q2-015,U05,B-BAT-02,2,装载,4805.829241238041,4895.829241238041,,,
Q2-015,U05,B-BAT-02,3,飞行,4895.829241238041,5614.064236393385,O01,S003,
Q2-015,U05,B-BAT-02,4,交接,5614.064236393385,5854.064236393385,,,S003
Q2-015,U05,B-BAT-02,5,飞行,5854.064236393385,6586.352564882063,S003,O01,
Q2-016,U07,C-BAT-03,1,准备,1560.169078176492,1860.169078176492,,,
Q2-016,U07,C-BAT-03,2,装载,1860.169078176492,2040.169078176492,,,
Q2-016,U07,C-BAT-03,3,飞行,2040.169078176492,2747.6674244395062,O01,S004,
Q2-016,U07,C-BAT-03,4,交接,2747.6674244395062,3143.6674244395062,,,S004
Q2-016,U07,C-BAT-03,5,飞行,3143.6674244395062,3861.225770702521,S004,O01,
Q2-017,U03,A-BAT-06,1,准备,2262.629303887711,2562.629303887711,,,
Q2-017,U03,A-BAT-06,2,装载,2562.629303887711,2592.629303887711,,,
Q2-017,U03,A-BAT-06,3,飞行,2592.629303887711,2931.2023887892783,O01,S001,
Q2-017,U03,A-BAT-06,4,交接,2931.2023887892783,3111.2023887892783,,,S001
Q2-017,U03,A-BAT-06,5,飞行,3111.2023887892783,3453.5288070241786,S001,O01,
Q2-018,U06,B-BAT-04,1,准备,5493.120804331544,5793.120804331544,,,
Q2-018,U06,B-BAT-04,2,装载,5793.120804331544,5883.120804331544,,,
Q2-018,U06,B-BAT-04,3,飞行,5883.120804331544,6470.699129124328,O01,S015,
Q2-018,U06,B-BAT-04,4,交接,6470.699129124328,6710.699129124328,,,S015
Q2-018,U06,B-BAT-04,5,飞行,6710.699129124328,7321.397453917111,S015,O01,
Q2-019,U07,C-BAT-03,1,准备,9014.444416081906,9314.444416081906,,,
Q2-019,U07,C-BAT-03,2,装载,9314.444416081906,9524.444416081906,,,
Q2-019,U07,C-BAT-03,3,飞行,9524.444416081906,9830.713955170151,O01,S001,
Q2-019,U07,C-BAT-03,4,交接,9830.713955170151,10154.713955170151,,,S001
Q2-019,U07,C-BAT-03,5,飞行,10154.713955170151,10406.766561497363,S001,S009,
Q2-019,U07,C-BAT-03,6,交接,10406.766561497363,10694.766561497363,,,S009
Q2-019,U07,C-BAT-03,7,飞行,10694.766561497363,11183.16558289743,S009,O01,
Q2-020,U03,A-BAT-03,1,准备,0.0,300.0,,,
Q2-020,U03,A-BAT-03,2,装载,300.0,330.0,,,
Q2-020,U03,A-BAT-03,3,飞行,330.0,1169.2879852771887,O01,S003,
Q2-020,U03,A-BAT-03,4,交接,1169.2879852771887,1349.2879852771887,,,S003
Q2-020,U03,A-BAT-03,5,飞行,1349.2879852771887,2202.629303887711,S003,O01,
Q2-021,U04,A-BAT-04,1,准备,0.0,300.0,,,
Q2-021,U04,A-BAT-04,2,装载,300.0,360.0,,,
Q2-021,U04,A-BAT-04,3,飞行,360.0,1199.2879852771887,O01,S003,
Q2-021,U04,A-BAT-04,4,交接,1199.2879852771887,1409.2879852771887,,,S003
Q2-021,U04,A-BAT-04,5,飞行,1409.2879852771887,2262.629303887711,S003,O01,
Q2-022,U01,A-BAT-05,1,准备,2043.2000525822739,2343.200052582274,,,
Q2-022,U01,A-BAT-05,2,装载,2343.200052582274,2403.200052582274,,,
Q2-022,U01,A-BAT-05,3,飞行,2403.200052582274,3118.6691880350554,O01,S002,
Q2-022,U01,A-BAT-05,4,交接,3118.6691880350554,3328.6691880350554,,,S002
Q2-022,U01,A-BAT-05,5,飞行,3328.6691880350554,4050.2583234878366,S002,O01,
Q2-023,U05,B-BAT-01,1,准备,6586.352564882063,6886.352564882063,,,
Q2-023,U05,B-BAT-01,2,装载,6886.352564882063,6946.352564882063,,,
Q2-023,U05,B-BAT-01,3,飞行,6946.352564882063,7664.5875600374075,O01,S003,
Q2-023,U05,B-BAT-01,4,交接,7664.5875600374075,7874.5875600374075,,,S003
Q2-023,U05,B-BAT-01,5,飞行,7874.5875600374075,8606.875888526085,S003,O01,
