货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻（s）,期望送达时间（s）,硬截止时间（s）,硬截止违例
S011-WAT-01,Q2-014,S011,饮用水,是,4942.8181480501335,10800.0,10800.0,False
S012-FOD-01,Q2-002,S012,应急食品,否,1281.4123903129507,7200.0,,False
S012-MED-01,Q2-002,S012,医疗物资,是,1281.4123903129507,7200.0,3600.0,False
S012-WAT-01,Q2-002,S012,饮用水,是,1281.4123903129507,3600.0,3600.0,False
S013-FOD-01,Q2-003,S013,应急食品,否,1058.0541710342939,7200.0,,False
S013-MED-01,Q2-003,S013,医疗物资,是,1058.0541710342939,3600.0,3600.0,False
S013-WAT-01,Q2-003,S013,饮用水,是,1058.0541710342939,3600.0,3600.0,False
S014-FOD-01,Q2-008,S014,应急食品,否,3573.3703769008666,7200.0,,False
S014-MED-01,Q2-008,S014,医疗物资,是,3573.3703769008666,7200.0,3600.0,False
S014-WAT-01,Q2-008,S014,饮用水,是,3573.3703769008666,3600.0,3600.0,False
S015-FOD-01,Q2-018,S015,应急食品,否,6710.699129124328,14400.0,,False
S015-MED-01,Q2-018,S015,医疗物资,是,6710.699129124328,7200.0,7200.0,False
S015-WAT-01,Q2-018,S015,饮用水,是,6710.699129124328,10800.0,10800.0,False
