架次编号,航段序号,起点,终点,载荷（kg）,水平距离（m）,爬升（m）,下降（m）,开始时刻（s）,结束时刻（s）,水平能耗（kWh）,爬升能耗（kWh）,总能耗（kWh）
Q2-014,1,O01,S011,25.0,2808.0742369671166,167.66175537109376,83.26175537109376,4426.421244980191,4702.8181480501335,0.595205549080947,0.05709028310103947,0.6522958321819865
Q2-014,2,S011,O01,0.0,2808.0742369671166,83.26175537109376,167.66175537109376,4942.8181480501335,5224.841717786744,0.4011534624238738,0.020475975333775414,0.4216294377576492
Q2-015,1,O01,S003,25.0,7263.1794073106375,434.10413818359376,223.30413818359375,4895.829241238041,5614.064236393385,1.5395193724902865,0.14781622731660207,1.6873355998068886
Q2-015,2,S003,O01,0.0,7263.1794073106375,223.30413818359375,434.10413818359376,5854.064236393385,6586.352564882063,1.037597058187234,0.05491560927341013,1.0925126674606442
Q2-016,1,O01,S004,59.0,7714.696449438381,270.53916625976564,169.9391662597656,2040.169078176492,2747.6674244395062,3.6022387848744826,0.13193764958251986,3.7341764344570025
Q2-016,2,S004,O01,0.0,7714.696449438381,169.9391662597656,270.53916625976564,3143.6674244395062,3861.225770702521,2.373752753673348,0.04494240792577662,2.4186951615991243
Q2-017,1,O01,S001,14.0,3053.978849873493,145.3566101074219,89.05661010742188,2592.629303887711,2931.2023887892783,0.600004440421036,0.04619550834985945,0.6461999487708954
Q2-017,2,S001,O01,0.0,3053.978849873493,89.05661010742188,145.3566101074219,3111.2023887892783,3453.5288070241786,0.5497161929772287,0.023585760179666824,0.5733019531568956
Q2-018,1,O01,S015,25.0,6009.38306280972,444.09925537109376,97.29925537109375,5883.120804331544,6470.699129124328,1.2737619605814177,0.15121965148211583,1.4249816120635335
Q2-018,2,S015,O01,0.0,6009.38306280972,97.29925537109375,444.09925537109376,6710.699129124328,7321.397453917111,0.8584832946871029,0.023928118547268853,0.8824114132343718
Q2-019,1,O01,S001,53.0,3053.978849873493,145.3566101074219,89.05661010742188,9524.444416081906,9830.713955170151,1.3241684510403486,0.06758842828806817,1.3917568793284167
Q2-019,2,S001,S009,25.0,2651.1987781356916,109.22891235351562,63.228912353515625,10154.713955170151,10406.766561497363,0.9004551033204659,0.03921836643332145,0.9396734697537873
Q2-019,3,S009,O01,0.0,5705.145004228565,63.228912353515625,165.52891235351564,10694.766561497363,11183.16558289743,1.7554292320703277,0.016721628299336082,1.7721508603696638
Q2-020,1,O01,S003,14.0,7263.1794073106375,434.10413818359376,223.30413818359375,330.0,1169.2879852771887,1.4269712104068868,0.13796181216216194,1.5649330225690488
Q2-020,2,S003,O01,0.0,7263.1794073106375,223.30413818359375,434.10413818359376,1349.2879852771887,2202.629303887711,1.3073722933159149,0.0591398869098263,1.3665121802257412
Q2-021,1,O01,S003,22.0,7263.1794073106375,434.10413818359376,223.30413818359375,360.0,1199.2879852771887,1.565907796244916,0.15110103236808212,1.717008828612998
Q2-021,2,S003,O01,0.0,7263.1794073106375,223.30413818359375,434.10413818359376,1409.2879852771887,2262.629303887711,1.3073722933159149,0.0591398869098263,1.3665121802257412
Q2-022,1,O01,S002,22.0,7411.310533636502,183.51807861328126,91.71807861328125,2403.200052582274,3118.6691880350554,1.597844180102753,0.06387815433573688,1.66172233443849
Q2-022,2,S002,O01,0.0,7411.310533636502,91.71807861328125,183.51807861328126,3328.6691880350554,4050.2583234878366,1.3340358960545704,0.024290623724654865,1.3583265197792254
Q2-023,1,O01,S003,20.0,7263.1794073106375,434.10413818359376,223.30413818359375,6946.352564882063,7664.5875600374075,1.3533016868340015,0.13960421468790196,1.4929059015219035
Q2-023,2,S003,O01,0.0,7263.1794073106375,223.30413818359375,434.10413818359376,7874.5875600374075,8606.875888526085,1.037597058187234,0.05491560927341013,1.0925126674606442
