服务区编号,机型编号,返航余量,最大安全载荷（kg）
S006,B,0.25,30.0
S006,B,0.3,30.0
S006,C,0.1,80.0
S006,C,0.15,80.0
S006,C,0.2,80.0
S006,C,0.25,80.0
S006,C,0.3,80.0
S007,A,0.1,25.0
S007,A,0.15,25.0
S007,A,0.2,25.0
S007,A,0.25,25.0
S007,A,0.3,25.0
S007,B,0.1,30.0
S007,B,0.15,30.0
S007,B,0.2,30.0
S007,B,0.25,30.0
S007,B,0.3,30.0
S007,C,0.1,80.0
S007,C,0.15,80.0
S007,C,0.2,80.0
S007,C,0.25,80.0
S007,C,0.3,80.0
S008,A,0.1,25.0
S008,A,0.15,25.0
S008,A,0.2,25.0
S008,A,0.25,24.68458879904646
S008,A,0.3,14.401880585824104
S008,B,0.1,30.0
S008,B,0.15,30.0
S008,B,0.2,28.84832848976599
S008,B,0.25,25.540995241044634
S008,B,0.3,21.08242039420136
S008,C,0.1,71.49187566591696
S008,C,0.15,65.96767445130152
S008,C,0.2,58.98508718970471
S008,C,0.25,49.808255706288904
S008,C,0.3,36.955299275285455
S009,A,0.1,25.0
S009,A,0.15,25.0
S009,A,0.2,25.0
S009,A,0.25,25.0
S009,A,0.3,25.0
S009,B,0.1,30.0
S009,B,0.15,30.0
S009,B,0.2,30.0
S009,B,0.25,30.0
S009,B,0.3,30.0
S009,C,0.1,80.0
S009,C,0.15,80.0
S009,C,0.2,80.0
S009,C,0.25,80.0
S009,C,0.3,79.15400140088848
S010,A,0.1,25.0
S010,A,0.15,25.0
S010,A,0.2,25.0
S010,A,0.25,25.0
S010,A,0.3,25.0
S010,B,0.1,30.0
S010,B,0.15,30.0
S010,B,0.2,30.0
S010,B,0.25,30.0
S010,B,0.3,30.0
S010,C,0.1,80.0
S010,C,0.15,80.0
S010,C,0.2,80.0
S010,C,0.25,80.0
S010,C,0.3,80.0
S011,A,0.1,25.0
S011,A,0.15,25.0
S011,A,0.2,25.0
S011,A,0.25,25.0
S011,A,0.3,25.0
S011,B,0.1,30.0
S011,B,0.15,30.0
S011,B,0.2,30.0
S011,B,0.25,30.0
S011,B,0.3,30.0
S011,C,0.1,80.0
S011,C,0.15,80.0
S011,C,0.2,80.0
S011,C,0.25,80.0
S011,C,0.3,80.0
S012,A,0.1,25.0
S012,A,0.15,25.0
S012,A,0.2,25.0
S012,A,0.25,25.0
S012,A,0.3,25.0
S012,B,0.1,30.0
S012,B,0.15,30.0
S012,B,0.2,30.0
S012,B,0.25,29.308226150440248
S012,B,0.3,25.822098472816396
S012,C,0.1,77.97777941703269
S012,C,0.15,73.49852778433853
S012,C,0.2,67.95017150817051
S012,C,0.25,60.87633114797533
S012,C,0.3,51.48457522734204
S013,A,0.1,25.0
S013,A,0.15,25.0
S013,A,0.2,25.0
S013,A,0.25,25.0
S013,A,0.3,25.0
S013,B,0.1,30.0
S013,B,0.15,30.0
S013,B,0.2,30.0
S013,B,0.25,30.0
S013,B,0.3,30.0
S013,C,0.1,80.0
S013,C,0.15,80.0
S013,C,0.2,80.0
S013,C,0.25,80.0
S013,C,0.3,80.0
S014,A,0.1,25.0
S014,A,0.15,25.0
S014,A,0.2,25.0
S014,A,0.25,25.0
S014,A,0.3,25.0
S014,B,0.1,30.0
S014,B,0.15,30.0
S014,B,0.2,30.0
S014,B,0.25,30.0
S014,B,0.3,30.0
S014,C,0.1,80.0
S014,C,0.15,80.0
S014,C,0.2,80.0
S014,C,0.25,80.0
S014,C,0.3,80.0
S015,A,0.1,25.0
S015,A,0.15,25.0
S015,A,0.2,25.0
S015,A,0.25,25.0
S015,A,0.3,25.0
S015,B,0.1,30.0
S015,B,0.15,30.0
S015,B,0.2,30.0
S015,B,0.25,30.0
S015,B,0.3,30.0
S015,C,0.1,80.0
S015,C,0.15,80.0
S015,C,0.2,80.0
S015,C,0.25,78.45574358310074
S015,C,0.3,73.00907260947514
