架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2-010,U08,C-BAT-02,3,飞行,4481.196881359403,5188.695227622417,O01,S004,
Q2-010,U08,C-BAT-02,4,交接,5188.695227622417,5584.695227622417,,,S004
Q2-010,U08,C-BAT-02,5,飞行,5584.695227622417,6302.253573885432,S004,O01,
Q2-011,U05,B-BAT-02,1,准备,3401.0774287948657,3701.0774287948657,,,
Q2-011,U05,B-BAT-02,2,装载,3701.0774287948657,3791.0774287948657,,,
Q2-011,U05,B-BAT-02,3,飞行,3791.0774287948657,4067.474331864809,O01,S011,
Q2-011,U05,B-BAT-02,4,交接,4067.474331864809,4307.474331864809,,,S011
Q2-011,U05,B-BAT-02,5,飞行,4307.474331864809,4589.497901601419,S011,O01,
Q2-012,U07,C-BAT-03,1,准备,4902.572536533141,5202.572536533141,,,
Q2-012,U07,C-BAT-03,2,装载,5202.572536533141,5352.572536533141,,,
Q2-012,U07,C-BAT-03,3,飞行,5352.572536533141,6035.447727955412,O01,S008,
Q2-012,U07,C-BAT-03,4,交接,6035.447727955412,6395.447727955412,,,S008
Q2-012,U07,C-BAT-03,5,飞行,6395.447727955412,7092.642919377684,S008,O01,
Q2-013,U08,C-BAT-01,1,准备,6375.566082742071,6675.566082742071,,,
Q2-013,U08,C-BAT-01,2,装载,6675.566082742071,6825.566082742071,,,
Q2-013,U08,C-BAT-01,3,飞行,6825.566082742071,7595.071767594681,O01,S003,
Q2-013,U08,C-BAT-01,4,交接,7595.071767594681,7955.071767594681,,,S003
Q2-013,U08,C-BAT-01,5,飞行,7955.071767594681,8745.65745244729,S003,O01,
Q2-014,U06,B-BAT-01,1,准备,3444.0064560278224,3744.0064560278224,,,
Q2-014,U06,B-BAT-01,2,装载,3744.0064560278224,3834.0064560278224,,,
Q2-014,U06,B-BAT-01,3,飞行,3834.0064560278224,4552.241451183167,O01,S003,
Q2-014,U06,B-BAT-01,4,交接,4552.241451183167,4792.241451183167,,,S003
Q2-014,U06,B-BAT-01,5,飞行,4792.241451183167,5524.529779671844,S003,O01,
Q2-015,U01,A-BAT-01,1,准备,0.0,300.0,,,
Q2-015,U01,A-BAT-01,2,装载,300.0,360.0,,,
Q2-015,U01,A-BAT-01,3,飞行,360.0,1075.4691354527813,O01,S002,
Q2-015,U01,A-BAT-01,4,交接,1075.4691354527813,1285.4691354527813,,,S002
Q2-015,U01,A-BAT-01,5,飞行,1285.4691354527813,2007.0582709055627,S002,O01,
Q2-016,U05,B-BAT-04,1,准备,4857.776988146219,5157.776988146219,,,
Q2-016,U05,B-BAT-04,2,装载,5157.776988146219,5247.776988146219,,,
Q2-016,U05,B-BAT-04,3,飞行,5247.776988146219,5708.587857487368,O01,S009,
Q2-016,U05,B-BAT-04,4,交接,5708.587857487368,5948.587857487368,,,S009
Q2-016,U05,B-BAT-04,5,飞行,5948.587857487368,6416.218726828517,S009,O01,
Q2-017,U06,B-BAT-03,1,准备,5524.529779671844,5824.529779671844,,,
Q2-017,U06,B-BAT-03,2,装载,5824.529779671844,5914.529779671844,,,
Q2-017,U06,B-BAT-03,3,飞行,5914.529779671844,6502.108104464628,O01,S015,
Q2-017,U06,B-BAT-03,4,交接,6502.108104464628,6742.108104464628,,,S015
Q2-017,U06,B-BAT-03,5,飞行,6742.108104464628,7352.806429257412,S015,O01,
Q2-018,U07,C-BAT-04,1,准备,7092.642919377684,7392.642919377684,,,
Q2-018,U07,C-BAT-04,2,装载,7392.642919377684,7572.642919377684,,,
Q2-018,U07,C-BAT-04,3,飞行,7572.642919377684,8069.87318153699,O01,S005,
Q2-018,U07,C-BAT-04,4,交接,8069.87318153699,8465.87318153699,,,S005
Q2-018,U07,C-BAT-04,5,飞行,8465.87318153699,8969.833443696296,S005,O01,
