货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻（s）,期望送达时间（s）,硬截止时间（s）,硬截止违例
S011-WAT-01,Q2B-016,S011,饮用水,是,7636.792656852298,10800,10800.0,False
S012-FOD-01,Q2B-007,S012,应急食品,否,3101.4269767639635,7200,,False
S012-MED-01,Q2B-007,S012,医疗物资,是,3101.4269767639635,7200,3600.0,False
S012-WAT-01,Q2B-007,S012,饮用水,是,3101.4269767639635,3600,3600.0,False
S013-FOD-01,Q2B-006,S013,应急食品,否,2613.433740612564,7200,,False
S013-MED-01,Q2B-006,S013,医疗物资,是,2613.433740612564,3600,3600.0,False
S013-WAT-01,Q2B-006,S013,饮用水,是,2613.433740612564,3600,3600.0,False
S014-FOD-01,Q2B-008,S014,应急食品,否,4286.826841255156,7200,,False
S014-MED-01,Q2B-008,S014,医疗物资,是,4286.826841255156,7200,3600.0,True
S014-WAT-01,Q2B-008,S014,饮用水,是,4286.826841255156,3600,3600.0,True
S015-FOD-01,Q2B-013,S015,应急食品,否,6119.697428989572,14400,,False
S015-MED-01,Q2B-013,S015,医疗物资,是,6119.697428989572,7200,7200.0,False
S015-WAT-01,Q2B-013,S015,饮用水,是,6119.697428989572,10800,10800.0,False
