架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2B-011,U07,C-BAT-02,1,准备,3186.338156352984,3486.338156352984,,,
Q2B-011,U07,C-BAT-02,2,装载,3486.338156352984,3666.338156352984,,,
Q2B-011,U07,C-BAT-02,3,飞行,3666.338156352984,4373.836502615998,O01,S004,
Q2B-011,U07,C-BAT-02,4,交接,4373.836502615998,4769.836502615998,,,S004
Q2B-011,U07,C-BAT-02,5,飞行,4769.836502615998,5487.394848879013,S004,O01,
Q2B-012,U08,C-BAT-01,1,准备,3455.035254245985,3755.035254245985,,,
Q2B-012,U08,C-BAT-01,2,装载,3755.035254245985,3905.035254245985,,,
Q2B-012,U08,C-BAT-01,3,飞行,3905.035254245985,4587.910445668256,O01,S008,
Q2B-012,U08,C-BAT-01,4,交接,4587.910445668256,4947.910445668256,,,S008
Q2B-012,U08,C-BAT-01,5,飞行,4947.910445668256,5645.105637090528,S008,O01,
Q2B-013,U06,B-BAT-03,1,准备,4902.119104196788,5202.119104196788,,,
Q2B-013,U06,B-BAT-03,2,装载,5202.119104196788,5292.119104196788,,,
Q2B-013,U06,B-BAT-03,3,飞行,5292.119104196788,5879.697428989572,O01,S015,
Q2B-013,U06,B-BAT-03,4,交接,5879.697428989572,6119.697428989572,,,S015
Q2B-013,U06,B-BAT-03,5,飞行,6119.697428989572,6730.395753782355,S015,O01,
Q2B-014,U07,C-BAT-03,1,准备,5487.394848879013,5787.394848879013,,,
Q2B-014,U07,C-BAT-03,2,装载,5787.394848879013,5967.394848879013,,,
Q2B-014,U07,C-BAT-03,3,飞行,5967.394848879013,6464.625111038319,O01,S005,
Q2B-014,U07,C-BAT-03,4,交接,6464.625111038319,6860.625111038319,,,S005
Q2B-014,U07,C-BAT-03,5,飞行,6860.625111038319,7364.585373197626,S005,O01,
Q2B-015,U05,B-BAT-04,1,准备,5843.502690720936,6143.502690720936,,,
Q2B-015,U05,B-BAT-04,2,装载,6143.502690720936,6233.502690720936,,,
Q2B-015,U05,B-BAT-04,3,飞行,6233.502690720936,6694.313560062084,O01,S009,
Q2B-015,U05,B-BAT-04,4,交接,6694.313560062084,6934.313560062084,,,S009
Q2B-015,U05,B-BAT-04,5,飞行,6934.313560062084,7401.944429403234,S009,O01,
Q2B-016,U06,B-BAT-02,1,准备,6730.395753782355,7030.395753782355,,,
Q2B-016,U06,B-BAT-02,2,装载,7030.395753782355,7120.395753782355,,,
Q2B-016,U06,B-BAT-02,3,飞行,7120.395753782355,7396.792656852298,O01,S011,
Q2B-016,U06,B-BAT-02,4,交接,7396.792656852298,7636.792656852298,,,S011
Q2B-016,U06,B-BAT-02,5,飞行,7636.792656852298,7918.816226588908,S011,O01,
Q2B-017,U08,C-BAT-04,1,准备,5645.105637090528,5945.105637090528,,,
Q2B-017,U08,C-BAT-04,2,装载,5945.105637090528,6095.105637090528,,,
Q2B-017,U08,C-BAT-04,3,飞行,6095.105637090528,6708.4592767515815,O01,S002,
Q2B-017,U08,C-BAT-04,4,交接,6708.4592767515815,7068.4592767515815,,,S002
Q2B-017,U08,C-BAT-04,5,飞行,7068.4592767515815,7690.992916412635,S002,O01,
Q2B-018,U07,C-BAT-02,1,准备,7987.130906144213,8287.130906144213,,,
Q2B-018,U07,C-BAT-02,2,装载,8287.130906144213,8437.130906144213,,,
Q2B-018,U07,C-BAT-02,3,飞行,8437.130906144213,9206.636590996824,O01,S003,
Q2B-018,U07,C-BAT-02,4,交接,9206.636590996824,9566.636590996824,,,S003
Q2B-018,U07,C-BAT-02,5,飞行,9566.636590996824,10357.222275849435,S003,O01,
